class,alternative_term,comment,definition,editor_note,has_broad_synonym,has_exact_synonym,has_narrow_synonym,has_related_synonym,hasSynonym,in_subset,label,superclasses
ENVO_00002258,,"Some authorities consider loam to be any soil material that contains 7 to 27% clay, 28 to 50% silt, and less than 52% sand.","A soil which is composed of approximately equal proportions of sand and silt, with a smaller proportion of clay.",,,,,,,,loam,ENVO_00001998
ENVO_00002259,,,Soil which is part of an ecosystem used for agricultural activities.,,,,,,,,agricultural soil,ENVO_00001998
ENVO_00005786,,,Soil which is part of some elevated land.,,,,,,,,upland soil,ENVO_00001998
ENVO_00002261,,,A portion of soil which is found in a forested area.,,,,,,,,forest soil,ENVO_00001998
ENVO_00002262,,,Soil which is primarily composed of clay.,,,,,,,,clay soil,ENVO_00001998
ENVO_00002263,,,A portion of soil which is found in a garden.,,,,,,,,garden soil,ENVO_00001998
ENVO_00002273,,,"Fluvisols accommodate genetically young, azonal soils in alluvial deposits.",,,,,,,,fluvisol,ENVO_00001998
ENVO_00002274,,,"Stagnosols are soils with a perched water table showing redoximorphic features caused by surface water. Stagnosols are periodically wet and mottled in the topsoil and subsoil, with or without concretions and/or bleaching.",,,,,,,,stagnosol,ENVO_00001998
ENVO_00002275,,,"Technosols are soils whose properties and pedogenesis are dominated by their technical origin. They contain a significant amount of artefacts (something in the soil recognizably made or extracted from the earth by humans), or are sealed by technic hard rock (material created by humans, having properties unlike natural rock). They include soils from wastes (landfills, sludge, cinders, mine spoils and ashes), pavements with their underlying unconsolidated materials, soils with geomembranes and constructed soils in human-made materials.",,,,,,,,technosol,ENVO_00001998
ENVO_00005755,,,Soil which is part of an agricultural field.,,,,,,,,field soil,ENVO_00001998
ENVO_00005741,,,Soil which is part of an alpine environment.,,,,,,,envoPolar,alpine soil,ENVO_00001998
ENVO_00005742,,,Soil which is capable of supporting the growth of crops.,,,,,,,envoMeo,arable soil,ENVO_00001998
ENVO_00005743,,,A portion of soil which is found in a roadside area.,,,,,,,,roadside soil,ENVO_00001998
ENVO_00005750,,,A portion of soil which is found in a grassland.,,,,,,,,grassland soil,ENVO_00001998
ENVO_00005747,,,Soil which is derived from compost.,,,,,,,,compost soil,ENVO_00001998
ENVO_00005748,,,Soil which has little to no water content and in which minerals and other soluble chemical entities have either bonded or become adsorbed to sold particles due to insufficient water availability.,,,,,,,,dry soil,ENVO_00001998
ENVO_00005749,,,A portion of soil which is part of a cropland or a rangeland biome.,,,,,,,,farm soil,ENVO_00001998
ENVO_00005751,,,Soil which is part of a densely forested area subject to tropical climate patterns.,,,,,,,,jungle soil,ENVO_00001998
ENVO_00005752,,,"Soil which is part of a sawah, a wet or irrigated rice field.",,,,,,,,sawah soil,ENVO_00001998
ENVO_00005754,,,Soil which has been amended with fertilizers.,,,,,,,,fertilized soil,ENVO_00001998
ENVO_00005756,,,Soil which is formulated to promote the growth of grasses or other plants used to establish managed areas of vegetation.,,,,,,,,lawn soil,ENVO_00001998
ENVO_00005760,,,Soil which has been transformed through a combustion process.,,,,,burnt soil,,,burned soil,ENVO_00001998
ENVO_00005761,,,Soil which is part of a meadow.,,,,,,,,meadow soil,ENVO_00001998
ENVO_00005764,,,Soil which is adjacent to a pond.,,,,,,,,pond soil,ENVO_00001998
ENVO_00005766,,"Common liming agents include calcium- and magnesium-rich materials in various forms, including marl, chalk, limestone, burnt lime or hydrated lime. Liming often improves plant growth and increases the activity of soil bacteria, but oversupply may result in harm to plant life.
Liming can also improve aggregate stability on clay soils. For this purpose structure lime, products containing calcium oxide (CaO) or hydroxide (Ca(OH)2) in mixes with calcium carbonate (CaCO3), are often used. Structure liming can reduce losses of clay and nutrients from soil aggregates.",Soil which has been amended with mineral additives to increase its pH.,,,,,,,,limed soil,ENVO_00001998
ENVO_00005767,,,"Soil which has, as a part, a portion of either fresh or processed animal manure.",,,,,,,,manured soil,ENVO_00001998
ENVO_00005768,,,"Soil which has properties to which plants in the Family Orchidaceae have adapted, including increased levels of aeration and drainage.",,,,,,,,orchid soil,ENVO_00001998
ENVO_00005771,,,"Soil which is composed of a large proportion of mud, thus having properties resembling mud.",,,,,,,,muddy soil,ENVO_00001998
ENVO_00005773,,,"Soil which is found in a pasture and in which vegetation, such as the grass used for the grazing of ungulates, grows.",,,,,,,,pasture soil,ENVO_00001998
ENVO_00005778,,,Soil which is part of a tropical environment.,,,,,,,,tropical soil,ENVO_00001998
ENVO_00005780,,,A portion of soil which is found in a greenhouse.,,,,,,,,greenhouse soil,ENVO_00001998
ENVO_00005781,,,"Soil which is has been heated such that its chemical, physical, or biological properties are destabilised.",,,,,,,,heat stressed soil,ENVO_00001998
ENVO_00005782,,,Soil which is formed from avian fecal matter.,,,,,,,,ornithogenic soil,ENVO_00001998
ENVO_00005790,,"Red soil typically derives from crystalline rock in warm, temperate, moist climates under deciduous or mixed forest. It has thin organic and organic-mineral layers, a black brown leached layer resting on an illuvium red layer. The majority of red soils have a loamy texture. Their chemical composition varies across regions, but often includes non-soluble material 90.47%, iron 3.61%, aluminium 2.92%, organic matter 1.01%, magnesium 0.70%, lime 0.56%, carbon dioxide 0.30%, potash 0.24%, soda 0.12%, phosphorus 0.09% and nitrogen 0.08%. 

On the uplands, they are thin, poor and gravelly, sandy, or stony and porous, light-colored soils on which food crops like bajra can be grown. In contrast, on the lower plains and valleys they are rich, deep, dark colored fertile loam on which, under irrigation, can produce excellent crops like cotton, wheat, pulses, tobacco, jowar, linseed, millet, potatoes and fruits.","Soil which has 1) low concentrations of nutrients and humus, 2) low water retention capacity, 3) textural variation from sand to clay, 4) a porous and friable structure, and 5) low concentrations of soluble salts.",,,,,,,,red soil,ENVO_00001998
ENVO_00005802,,,Soil that is not penetrated by the root systems of plants.,,,,,,,,bulk soil,ENVO_00001998
ENVO_01001185,,,"Soil which has increased levels of molecules or ions capable of donating a hydron (proton or hydrogen ion) to other chemical entities, or, alternatively, capable of forming covalent bonds with other chemicals via the acceptance of an electron pair, resulting in a bulk pH measurement of less than 7.",,,,,,,,acidic soil,ENVO_00001998
ENVO_01001616,,,Soil which is directly exposed to the atmosphere - with no intervening layer of plant life or other cover - and thus the effects of weathering and erosion.,,,,,,,,bare soil,ENVO_00001998
ENVO_01001638,,,Soil in which segregated ice will form (causing frost heave) under the required conditions of moisture supply and temperature.,"The label would apply to all soils in which frost can form, however, the definition of this class suggests that ice segregation is a key property that differentiates this type of soil from others.",,,,,,,frost-susceptible soil,ENVO_00001998
ENVO_02000059,,,A soil consisting of the upper layer of soil on the surface consisting of loose material capable of supporting life composed of a mixture of mineral and organic matter.,,,topsoil,,,,,surface soil,ENVO_00001998
ENVO_02000138,,"Mangrove soils are typically saline, anoxic, acidic and frequently waterlogged.",Soil which is located in a mangrove biome.,,,mangrove soil,,,,,mangrove biome soil,ENVO_00001998
ENVO_06105205,,,A soil which has a high bulk density and/or a low porosity. A compacted soil has a reduced rate of both water infiltration and drainage,,,,,,,,compacted soil,ENVO_00001998
ENVO_03600036,,"The pathogenicity that is suppressed is typically directed towards plants, especially crops. Soils are typically classified as pathogen-suppressive if a pathogen 1) cannot establish itself or persist, 2) is able to establish itself, but causes little or no damage, or 3) is able to establishe itself, but only causes disease that does not result in long-term harm.","Soil which has properties that restrict a pathogen's ability to establish itself, persist, or cause disease that results in long-term harm.",,,disease-suppressive soil,,,,,pathogen-suppressive soil,ENVO_00001998
ENVO_01000018,,"As with all size-based classifications, there is considerable variation in what is considered gravel.",An environmental material which is composed primarily of pieces of gravel.,,,,,,,,gravel,ENVO_01000814
ENVO_01001125,,"Note that ice may be formed at very high temperatures, due to gravitational effects and/or pressure.",An ice is an environmental material which is either frozen or which is maintained in a solid state by gravitational forces or pressure.,,,,,,,,ice,ENVO_01000814
ENVO_00001995,,"From https://en.wikipedia.org/wiki/ [A mineral] is different from a rock, which can be an aggregate of minerals or non-minerals and does not have a specific chemical composition. The exact definition of a mineral is under debate, especially with respect to the requirement a valid species be abiogenic, and to a lesser extent with regards to it having an ordered atomic structure.",A rock is a naturally occurring solid aggregate of one or more minerals or mineraloids.,,,,,,,,rock,ENVO_01000814
